,QaA,QbA,QcA,QdA,QeA,QfA,QgA,QhA,QiA,QjA,QkA,QlA,QmA,QnA,QoA,QpA,QqA,QrA,QsA,QtA,education,married,wr_01,wr_02,wr_03,wr_04,wr_05,wr_06,wr_07,wr_08,wr_09,wr_10,wr_11,wr_12,wr_13,QaE_new,QbE_new,QcE_new,QdE_new,QeE_new,QfE_new,QgE_new,QhE_new,QiE_new,QjE_new,QkE_new,QlE_new,QmE_new,QnE_new,QoE_new,QpE_new,QqE_new,QrE_new,QsE_new,QtE_new,wr_new,age_10s,age4,race_white,QtotalE,Mach_score,mach_per,Asian,Black,Other,White,tp_score
488,4,1,3,5,4,3,4,4,2,4,1,2,4,3,2,2,2,2,2,1,3,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,2,2,2,1,0,0,2,1,1,2.75,1,0,0,0,1,3.2
489,4,1,1,4,4,2,5,1,1,1,2,3,1,2,2,4,2,4,2,1,3,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,2,0,1,0,1,1,1,2,1,1,1,1,1,1,0,2,0,0,1,1,1,2.35,0,0,0,0,1,2.2
490,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,2,0,1,0,0,1,0,1,2,2,0,1,0,1,1,2,0,1,1,0,0,1,1,1,5.0,2,0,0,0,1,3.5
491,5,5,5,5,5,1,5,1,1,5,2,5,5,1,4,4,5,3,5,3,3,2,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,0,1,0,2,2,1,2,0,0,2,1,1,3.75,1,0,0,0,1,1.2
492,3,4,4,4,5,5,2,4,4,4,3,5,4,5,5,4,4,4,5,5,3,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,2,0,1,1,0,1,1,1,0,0,1,1,4.15,2,0,0,0,1,3.1
493,5,1,4,5,1,5,1,2,5,1,5,5,5,5,5,5,1,4,5,4,2,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,2,1,0,1,1,2,1,1,1,1,1,1,2,1,1,1,2,0,0,1,1,1,3.7,1,0,0,0,1,2.1
494,4,5,2,5,4,5,5,1,4,5,4,5,5,4,4,4,5,5,5,4,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,4.25,2,0,1,0,0,3.5
495,4,4,3,2,2,4,4,2,4,4,3,4,4,3,4,4,3,4,4,3,2,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,2,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,3.45,1,0,0,0,1,2.8
496,2,4,4,5,5,3,3,2,3,5,1,5,4,3,4,4,1,1,3,2,2,3,1,1,0,1,1,1,1,1,0,1,0,1,1,1,2,2,1,2,1,2,2,1,1,2,1,1,2,2,2,2,1,1,2,0,0,2,1,1,3.2,1,0,0,0,1,1.1
497,5,5,5,5,2,5,4,2,5,5,3,4,4,5,5,2,5,4,4,5,2,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,0,0,0,1,1,4.2,2,0,0,0,1,3.2
498,1,4,4,4,4,4,5,1,1,5,1,4,2,4,1,1,1,4,3,2,4,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,2,1,1,2.8,1,0,0,0,1,2.5
499,5,2,5,5,5,4,1,2,3,4,2,5,4,5,4,4,5,4,2,5,3,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,1,1,2,1,0,0,1,1,1,3.8,1,0,0,0,1,3.0
500,5,4,5,5,5,5,2,3,1,5,1,5,4,4,4,4,5,1,4,5,2,2,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,2,1,1,1,1,1,0,1,0,2,0,0,1,1,1,3.85,1,0,0,0,1,3.3
501,5,3,5,5,4,5,5,3,4,3,3,5,5,3,4,2,5,4,4,5,2,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,4.1,2,0,0,1,0,2.4
502,4,5,5,5,2,5,5,3,5,4,4,5,5,5,4,2,5,5,4,3,3,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,2,0,1,1,0,1,0,1,2,0,1,1,1,0,0,0,1,1,4.25,2,0,0,0,1,1.3
503,5,4,5,5,3,4,5,4,4,4,3,4,4,5,4,4,3,4,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,0,1,0,1,3.95,1,0,0,1,0,2.4
504,5,4,1,3,5,5,1,1,4,1,4,5,1,4,3,4,1,3,5,1,3,2,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,2,0,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,0,0,1,1,1,3.05,1,0,0,0,1,0.8
505,5,5,5,4,4,2,1,2,4,5,2,5,5,4,5,5,5,2,4,4,3,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,3.9,1,1,0,0,0,3.6
506,5,5,4,4,5,5,4,5,4,4,2,5,4,5,2,1,3,5,2,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,0,1,1,1,1,2,1,2,2,2,2,1,0,1,1,1,3.95,1,0,0,0,1,1.2
507,4,1,5,5,5,4,5,2,2,4,1,5,1,4,1,1,4,5,3,2,4,2,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,3.2,1,1,0,0,0,1.9
508,4,2,1,4,2,1,1,1,1,1,1,5,2,1,1,4,1,2,2,1,2,2,1,1,0,1,1,0,1,1,0,1,0,1,1,1,2,0,1,2,0,1,1,0,2,0,0,2,1,0,1,0,2,2,1,0,0,2,1,1,1.9,0,0,0,0,1,1.8
509,2,1,2,5,2,1,1,5,1,5,1,5,1,1,1,1,2,5,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,1,2,0,2,2,2,1,1,1,1,2,1,2,2,2,0,1,1,0,1,0,1,2.6,0,1,0,0,0,1.8
510,5,1,5,5,5,1,1,1,1,5,1,5,4,5,1,4,5,1,3,5,4,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,2,1,2,1,1,1,0,1,1,1,1,1,2,1,2,2,1,0,0,1,0,1,3.2,1,0,1,0,0,2.5
511,1,2,5,5,1,5,4,1,5,5,1,5,4,5,5,3,1,2,4,4,2,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,2,1,2,1,1,0,1,1,1,0,0,0,1,0,2,2,1,0,0,1,1,3.4,1,0,0,0,1,2.1
512,3,2,4,4,4,4,2,1,4,3,4,5,3,4,2,3,3,4,2,2,3,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,2,1,1,1,1,2,1,1,2,2,2,1,1,2,1,2,1,0,0,0,1,1,3.15,1,0,0,0,1,3.0
513,4,3,3,5,5,3,5,5,5,4,4,5,4,3,5,5,5,3,5,4,4,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,1,1,2,2,0,0,1,0,1,4.25,2,1,0,0,0,2.1
514,3,5,1,5,2,4,3,4,4,4,3,5,5,4,3,3,3,1,5,4,2,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,2,0,1,0,1,2,2,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,3.55,1,0,0,1,0,2.2
515,5,5,4,5,3,2,4,3,5,5,4,5,2,2,4,2,5,4,4,3,3,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,3.8,1,0,0,0,1,2.2
516,5,2,5,2,5,3,1,2,3,5,4,4,4,2,5,4,2,4,4,4,3,1,1,1,1,1,1,0,1,1,0,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,0,2,1,1,3.5,1,0,0,0,1,1.3
517,2,3,3,5,4,4,3,2,1,2,2,5,2,2,2,2,2,2,1,4,2,2,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,2.65,0,0,0,0,1,2.3
518,3,1,1,5,4,2,5,1,4,2,1,1,5,1,3,1,2,1,4,1,3,2,1,1,0,1,1,1,1,1,0,1,1,1,1,1,2,2,1,1,2,1,2,2,2,0,1,1,1,1,2,1,1,1,2,1,0,1,1,1,2.4,0,0,0,0,1,1.9
519,3,3,1,3,1,4,1,1,2,3,1,5,2,2,4,2,2,2,3,2,2,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,2,2,0,1,1,0,0,0,1,1,2.35,0,0,0,0,1,0.6
520,5,4,4,5,3,5,4,2,4,4,4,3,4,5,4,3,4,4,4,5,3,1,0,0,0,1,0,1,1,0,0,0,0,0,0,2,2,2,1,2,2,2,2,2,1,1,1,2,1,2,2,1,1,1,0,0,0,0,1,1,4.0,2,0,0,0,1,2.6
521,2,1,4,5,3,4,5,1,1,3,1,5,2,1,1,1,2,3,4,2,3,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,2,2,1,2,2,1,1,2,2,0,2,2,2,2,2,2,1,2,2,0,0,0,1,1,2.55,0,0,0,0,1,0.8
522,5,3,3,4,3,3,4,3,4,4,3,5,3,5,4,3,3,3,5,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,0,0,0,1,3.7,1,1,0,0,0,3.4
523,3,2,2,5,3,3,2,1,1,2,1,4,2,4,2,3,2,2,4,4,3,1,1,1,0,1,1,0,1,1,0,1,0,1,1,2,0,1,1,0,1,0,2,0,0,1,0,0,1,1,2,1,1,1,2,0,0,1,1,1,2.6,0,0,0,0,1,2.8
524,2,1,1,4,3,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1,3,2,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,2,2,1,0,0,2,1,1,1.5,0,0,0,0,1,2.3
525,5,4,4,5,3,4,1,1,3,5,1,3,3,2,1,4,5,4,1,3,2,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,3.1,1,1,0,0,0,3.2
526,4,2,2,5,3,2,2,1,2,4,1,4,1,2,3,2,3,4,3,2,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,2,0,2,1,0,0,0,1,1,2.6,0,0,0,0,1,2.3
527,4,2,2,4,4,2,2,1,2,4,4,5,4,3,4,4,2,2,4,3,2,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,2,1,1,2,0,2,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,3.1,1,0,0,0,1,2.7
528,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,0,1,1,2,1,0,0,2,0,0,1,1,2,1,0,0,1,1,5.0,2,0,0,0,1,3.3
529,4,4,5,3,3,3,3,2,2,5,1,3,4,2,3,2,3,2,3,4,2,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,2,1,2,1,2,0,1,2,1,1,1,2,1,1,2,0,1,0,0,0,0,1,3.05,1,1,0,0,0,2.7
530,4,5,4,5,5,4,2,4,4,5,5,5,5,5,5,2,4,4,5,5,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,4.35,2,0,0,0,1,2.0
531,4,5,4,4,5,5,4,5,4,5,3,3,5,4,4,5,1,2,3,5,2,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,2,2,1,1,1,2,1,1,2,0,0,1,1,1,4.0,2,0,0,0,1,3.1
532,3,3,4,5,2,2,5,1,1,1,1,5,2,1,2,1,1,1,2,1,4,1,1,1,0,1,1,0,1,1,0,1,0,1,1,2,1,2,2,2,2,2,0,0,1,2,1,1,1,2,1,2,2,1,2,0,0,3,1,1,2.2,0,0,0,0,1,1.9
533,4,5,4,2,4,3,3,5,2,3,2,4,4,3,4,4,2,3,4,4,2,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,3.45,1,0,0,0,1,3.0
534,5,4,4,5,5,4,4,2,3,4,2,5,5,3,2,4,3,5,5,4,3,2,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,2,1,2,1,1,0,0,1,1,1,3.9,1,0,0,0,1,2.0
535,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,4,2,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,1,1,1,1.25,0,0,0,0,1,2.6
536,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,4,3,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,2,2,1,0,1,0,1,1,2,0,2,1,0,1,2,2,1,0,1,0,1,4.75,2,0,0,1,0,2.3
537,5,1,3,5,5,1,5,1,3,5,1,4,5,3,4,4,5,3,4,5,3,2,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,2,1,1,1,1,0,0,0,1,0,1,3.6,1,0,0,1,0,2.0
538,4,2,3,5,4,5,2,3,2,2,2,5,2,2,3,3,4,2,3,2,2,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,2,2,2,1,1,2,1,2,2,1,1,2,2,2,2,1,2,2,2,0,0,1,1,1,3.0,1,0,0,0,1,2.4
539,5,4,4,4,2,2,2,1,4,4,1,5,4,2,4,4,5,2,4,2,3,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,0,0,1,1,1,3.25,1,0,0,0,1,1.8
540,2,2,2,4,4,2,4,1,2,3,1,4,1,2,3,1,2,2,1,1,2,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,2,2,1,1,2,1,1,0,1,1,1,2,1,2,1,1,2,0,2,0,0,1,1,1,2.2,0,0,0,0,1,3.1
541,5,2,5,5,5,4,5,2,2,4,2,5,2,4,4,2,3,4,4,4,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,3.65,1,0,0,0,1,4.2
542,5,4,2,3,3,2,4,1,2,4,1,1,2,2,1,2,3,4,3,2,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,2,1,2,2,2,1,1,1,1,1,1,2,1,2,1,0,1,2,0,1,0,0,0,1,1,2.55,0,0,0,0,1,1.4
543,5,2,5,5,5,5,5,5,5,5,5,3,5,5,5,5,1,4,5,5,2,2,1,1,0,1,1,1,1,1,0,1,0,1,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,2,1,2,2,1,1,0,0,2,1,1,4.5,2,0,0,0,1,2.8
544,5,5,5,3,5,5,4,1,1,4,4,5,5,4,5,5,4,3,4,5,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,1,2,2,2,1,1,1,1,1,0,2,1,1,1,0,0,1,1,1,4.1,2,0,0,0,1,4.3
545,5,1,1,4,5,5,5,3,3,4,3,5,3,4,1,4,4,4,5,3,2,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,2,1,0,1,1,1,0,2,1,1,1,0,1,0,0,1,1,1,3.6,1,0,0,0,1,2.3
546,5,5,5,5,5,5,4,4,4,5,5,5,4,1,5,4,1,5,5,5,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,2,1,2,0,2,0,1,1,1,1,0,1,2,0,1,1,0,0,0,0,1,4.35,2,1,0,0,0,3.8
547,4,1,1,5,5,1,5,4,4,2,1,2,1,2,1,1,1,4,1,4,3,2,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,2,1,0,0,1,2,2,2,0,1,1,1,0,0,1,2,1,1,0,0,1,1,1,2.5,0,0,0,0,1,3.1
548,4,1,4,4,5,4,4,5,4,4,4,5,4,5,5,5,2,5,5,4,2,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2,1,0,0,0,0,1,4.15,2,1,0,0,0,2.8
549,5,4,5,3,1,1,5,2,2,4,1,5,4,5,4,5,3,5,1,5,3,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,2,2,1,2,0,2,2,1,1,0,1,1,1,1,1,1,0,2,0,0,1,0,1,3.5,1,1,0,0,0,1.4
550,5,1,2,5,4,5,2,4,4,2,1,5,5,4,4,4,2,2,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,2,0,2,2,2,1,1,1,0,1,0,1,1,1,3.35,1,0,0,0,1,1.2
551,3,3,3,3,5,1,3,1,1,3,1,5,4,1,3,1,1,5,2,2,2,2,1,1,0,1,1,0,1,1,0,1,0,1,1,2,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,2,0,0,2,1,1,2.55,0,0,0,0,1,1.6
552,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,0,0,2,1,1,4.8,2,0,0,0,1,2.5
553,5,4,4,5,5,5,4,2,5,2,2,5,4,5,4,4,2,3,5,4,2,1,0,1,1,1,1,0,1,1,1,1,0,1,1,2,2,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,3.95,1,0,0,0,1,3.7
554,5,4,1,3,5,4,5,3,5,2,1,5,3,5,1,1,3,3,3,1,4,2,1,1,1,1,1,1,1,1,0,1,0,1,1,1,2,2,2,2,1,1,2,1,1,1,2,2,1,2,2,0,2,2,1,1,0,1,1,1,3.15,1,0,0,0,1,2.5
555,5,5,5,5,5,5,5,5,1,5,1,3,5,5,1,5,5,5,5,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,0,2,0,1,4.3,2,0,0,1,0,1.3
556,5,3,2,5,5,4,3,2,2,4,2,4,2,5,1,2,5,2,3,4,2,2,1,1,1,1,1,0,1,1,0,1,0,1,1,0,2,1,1,0,1,2,1,1,1,1,1,1,0,1,2,1,2,1,1,0,0,2,0,1,3.25,1,0,1,0,0,2.5
557,5,2,5,5,4,5,3,1,4,5,1,5,5,5,5,4,2,4,5,1,2,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,2,1,1,1,0,2,1,1,2,1,1,2,1,1,2,2,2,0,1,0,0,0,0,1,3.8,1,1,0,0,0,1.7
558,1,2,4,5,3,3,5,1,3,4,1,4,4,3,2,4,2,1,3,4,3,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,2,1,1,2,1,0,2,2,0,2,1,2,1,2,1,0,0,1,0,1,2.95,1,0,1,0,0,2.7
559,5,1,5,4,5,5,1,5,1,3,5,5,5,5,5,5,5,5,5,5,4,2,0,0,1,1,0,0,0,1,1,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,0,2,0,1,4.25,2,1,0,0,0,2.1
560,5,1,4,5,1,5,5,1,5,5,5,5,5,5,5,1,4,5,5,5,4,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,2,0,2,0,1,0,1,0,1,4.1,2,1,0,0,0,2.7
561,5,3,5,5,5,5,4,4,3,5,3,5,1,5,1,5,4,4,1,5,2,2,0,1,0,1,1,0,1,1,0,0,0,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2,2,2,1,2,1,1,0,0,1,1,1,3.9,1,0,0,0,1,4.6
562,3,1,4,4,4,2,2,1,2,4,2,5,3,2,2,3,3,3,2,3,3,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,2.75,1,0,0,0,1,2.7
563,5,4,5,4,5,4,4,1,4,4,3,4,4,4,4,1,4,2,4,3,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,2,1,1,2,2,2,2,2,1,1,1,1,2,0,2,0,1,0,0,0,1,1,3.65,1,0,0,0,1,3.9
564,5,2,5,4,5,5,5,4,4,5,4,4,2,2,2,5,5,4,4,5,4,1,1,1,0,1,1,0,1,1,0,1,0,1,1,2,2,1,2,2,2,1,2,1,2,2,2,1,2,2,1,1,1,2,1,0,0,1,0,1,4.05,2,0,0,1,0,2.0
565,5,4,5,5,5,5,5,5,5,4,5,5,4,5,5,4,4,5,4,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,1,0,0,1,1,1,0,2,1,1,1,0,1,1,1,1,0,0,1,1,4.55,2,0,0,0,1,2.7
566,4,2,5,5,5,5,5,1,2,4,1,5,1,5,5,2,2,2,5,4,3,1,1,1,0,1,1,1,1,1,0,1,1,1,1,2,0,0,1,2,1,0,2,0,1,1,0,1,0,2,0,1,1,0,1,1,0,1,1,1,3.5,1,0,0,0,1,3.6
567,5,5,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,3,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,2,1,1,0,0,1,1,0,2,1,2,1,0,0,0,0,0,1,1,0,1,0,1,4.4,2,1,0,0,0,2.6
568,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,2,0,1,1,1,1,0,0,0,1,1,0,0,1,1,5.0,2,0,0,0,1,2.8
569,4,2,3,4,3,3,5,2,4,4,3,3,5,4,2,3,4,3,3,3,3,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,2,2,2,2,1,2,0,2,2,2,2,1,1,2,1,1,2,1,0,0,1,1,1,3.35,1,0,0,0,1,3.5
570,3,4,5,4,1,4,1,1,1,4,1,1,5,3,2,4,2,4,2,4,2,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,2,1,2,1,1,2,0,1,2,1,1,1,1,1,0,1,1,0,0,1,1,1,2.8,1,0,0,0,1,3.4
571,4,5,5,5,4,4,5,2,2,4,2,5,4,4,4,5,4,4,5,5,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4.1,2,1,0,0,0,2.8
572,2,5,5,3,1,1,5,5,1,5,1,5,1,1,5,5,1,1,4,5,3,3,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,2,2,1,2,2,1,1,1,1,2,1,0,1,1,2,1,2,2,0,0,2,0,1,3.1,1,1,0,0,0,2.2
573,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,1,2,1,1,1,2,0,0,0,1,1,4.8,2,0,0,0,1,3.0
574,2,3,4,5,5,4,4,2,4,4,4,5,4,4,3,2,3,2,4,2,2,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,0,0,1,1,1,3.5,1,0,0,0,1,3.0
575,4,3,5,5,1,5,2,5,1,5,2,5,1,4,5,5,5,5,5,5,2,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,2,1,2,0,0,2,1,1,2,0,1,1,0,0,1,0,0,0,0,1,3.9,1,0,0,1,0,2.8
576,5,1,1,5,1,4,2,1,4,1,1,1,1,1,4,5,1,5,2,1,3,2,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,2,1,1,1,0,1,0,0,0,0,1,2,0,0,1,2,1,0,0,2,0,1,2.35,0,0,0,1,0,1.3
577,5,1,2,5,1,4,4,1,2,2,1,5,2,2,2,3,5,4,1,2,2,1,1,1,0,1,1,0,1,1,0,1,0,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,1,1,1,0,0,1,1,1,2.7,0,0,0,0,1,3.0
578,5,4,4,5,1,4,5,4,2,5,4,5,5,2,4,5,4,4,5,4,2,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.05,2,0,0,0,1,2.1
579,3,4,1,4,4,5,2,3,3,2,1,5,2,3,4,2,1,5,4,3,2,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,2,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,3.05,1,1,0,0,0,2.3
580,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,2,1,1,1,0,1,2,0,2,0,0,1,0,1,1,1,5.0,2,0,0,0,1,2.1
581,4,4,2,4,4,3,2,2,1,4,2,4,5,1,1,4,4,4,4,1,2,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,2,1,1,1,1,0,0,1,2,1,1,1,0,1,0,1,2,0,0,0,1,1,3.0,1,0,0,0,1,2.2
582,5,1,5,5,5,5,3,3,5,1,3,5,3,5,3,5,5,5,1,3,3,2,1,1,0,1,1,0,1,1,0,1,0,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,0,0,1,0,1,3.8,1,1,0,0,0,2.9
583,4,4,5,4,5,3,2,2,2,4,1,5,3,2,4,2,3,2,4,4,4,1,1,1,0,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2,2,0,1,1,2,1,1,0,2,1,1,3.25,1,0,0,0,1,3.4
584,2,2,5,5,1,4,2,3,4,4,1,5,4,5,4,1,3,1,4,5,2,1,1,1,0,1,1,0,1,1,1,1,0,1,1,2,1,1,1,1,1,0,2,0,2,2,1,1,2,1,1,1,1,1,1,0,0,0,1,1,3.25,1,0,0,0,1,2.4
